CAC+Metadata,,Congressional Portal Metadata-Refined,
dcterms:provenance,,dcterms:provenance,
dcterms:identifier,,dcterms:identifier,
dcterms:title,,dcterms:title,
dcterms:creator,,dcterms:creator,
dcterms:description,,dcterms:description,
dcterms:date,,dcterms:date,
dcterms:created,,dcterms:created,
dcterms:http://purl.org/dc/terms/type,,dcterms:http://purl.org/dc/terms/type,
dcterms:temporal (congress),,dcterms:temporal,
dcterms:contributor (tribal affiliation),,dcterms:contributor,
dcterms:subject (policy),,dcterms:subject,
dcterms:http://purl.org/dc/terms/subject (LOC Headings),,dcterms:http://purl.org/dc/terms/subject,
dcterms:spatial,,dcterms:spatial,
dcterms:isPartOf,,dcterms:isPartOf,
dcterms:relation,,dcterms:relation,
dcterms: extent (pages),,dcterms:type,
dcterms:extent (duration),,dcterms:format,
dcterms:type,,dcterms:description,
dcterms:format,,dcterms:publisher,
dcterms:description,,dcterms:rights,
dcterms:publisher,,dcterms:language,
dcterms:rights,,dcterms:source,
dcterms:language,,edm:preview,
dcterms:language (other),,edm:isShownAt,
dcterms:format (pixel_dimension),,,
dcterms:format (size_KB_MB),,,
dcterms:source,,,
edm:preview,,,
edm:isShownAt,,,
dcterms:general (tribal_sovereignty_cases),,,
dcterms:general (allotment_cases),,,
dcterms:general (property_rights_cases),,,
dcterms:general (tribal_reservations_cases),,,
dcterms:general (tribal_citizenship_cases),,,
dcterms:general (american_indian_claims),,,
dcterms:general (tribal_leaders),,,
,,,
